transport,platform,algo,path,latency_ms
QUIC,cloud,ECDSAP256,cloud-edge,47.227793
QUIC,cloud,ECDSAP256,cloud-edge,29.966562
QUIC,cloud,ECDSAP256,cloud-edge,30.576741
QUIC,cloud,ECDSAP256,cloud-edge,32.992094
QUIC,cloud,ECDSAP256,cloud-edge,31.974106
QUIC,cloud,ECDSAP256,cloud-edge,27.518112
QUIC,cloud,ECDSAP256,cloud-edge,39.618703
QUIC,cloud,ECDSAP256,cloud-edge,34.451425
QUIC,cloud,ECDSAP256,cloud-edge,29.905642
QUIC,cloud,ECDSAP256,cloud-edge,30.375098
QUIC,cloud,ECDSAP256,cloud-edge,42.240163
QUIC,cloud,ECDSAP256,cloud-edge,34.127048
QUIC,cloud,ECDSAP256,cloud-edge,29.267191
QUIC,cloud,ECDSAP256,cloud-edge,29.307155
QUIC,cloud,ECDSAP256,cloud-edge,31.034092
QUIC,cloud,ECDSAP256,cloud-edge,31.784559
QUIC,cloud,ECDSAP256,cloud-edge,27.523901
QUIC,cloud,ECDSAP256,cloud-edge,29.854131
QUIC,cloud,ECDSAP256,cloud-edge,30.375971
QUIC,cloud,ECDSAP256,cloud-edge,31.703878
QUIC,cloud,ECDSAP256,cloud-edge,29.488464
QUIC,cloud,ECDSAP256,cloud-edge,31.584641
QUIC,cloud,ECDSAP256,cloud-edge,31.418542
QUIC,cloud,ECDSAP256,cloud-edge,31.864293
QUIC,cloud,ECDSAP256,cloud-edge,30.764917
QUIC,cloud,ECDSAP256,cloud-edge,30.299145
QUIC,cloud,ECDSAP256,cloud-edge,27.221485
QUIC,cloud,ECDSAP256,cloud-edge,33.9694
QUIC,cloud,ECDSAP256,cloud-edge,27.072251
QUIC,cloud,ECDSAP256,cloud-edge,37.476623
QUIC,cloud,ECDSAP256,cloud-edge,32.378505
QUIC,cloud,ECDSAP256,cloud-edge,32.310399
QUIC,cloud,ECDSAP256,cloud-edge,29.986995
QUIC,cloud,ECDSAP256,cloud-edge,44.790825
QUIC,cloud,ECDSAP256,cloud-edge,37.430914
QUIC,cloud,ECDSAP256,cloud-edge,34.07992
QUIC,cloud,ECDSAP256,cloud-edge,30.323351
QUIC,cloud,ECDSAP256,cloud-edge,31.685018
QUIC,cloud,ECDSAP256,cloud-edge,34.121983
QUIC,cloud,ECDSAP256,cloud-edge,33.150966
QUIC,cloud,ECDSAP256,cloud-edge,30.457925
QUIC,cloud,ECDSAP256,cloud-edge,30.701289
QUIC,cloud,ECDSAP256,cloud-edge,47.000491
QUIC,cloud,ECDSAP256,cloud-edge,30.312103
QUIC,cloud,ECDSAP256,cloud-edge,31.400866
QUIC,cloud,ECDSAP256,cloud-edge,30.212943
QUIC,cloud,ECDSAP256,cloud-edge,28.008373
QUIC,cloud,ECDSAP256,cloud-edge,27.464835
QUIC,cloud,ECDSAP256,cloud-edge,31.646045
QUIC,cloud,ECDSAP256,cloud-edge,32.566285
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,113.145181
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,112.676369
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,108.634601
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,112.695294
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,115.460087
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,126.718788
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,115.33199
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,113.658557
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,108.495305
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,117.149325
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,112.29611
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,113.241115
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,113.771438
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,113.2669
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,117.682709
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,105.50632
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,112.598216
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,115.609625
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,113.904434
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,118.006372
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,108.322333
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,117.110952
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,111.119498
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,112.827837
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,114.63102
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,113.281179
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,118.903376
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,108.273075
TCP-TLS1.2,cloud,ECDSAP256,cloud-edge,109.613663
