transport,platform,algo,path,latency_ms
QUIC,rpi4,ECDSAP256,sensor-edge,50.856079
QUIC,rpi4,ECDSAP256,sensor-edge,54.601417
QUIC,rpi4,ECDSAP256,sensor-edge,58.612172
QUIC,rpi4,ECDSAP256,sensor-edge,54.709354
QUIC,rpi4,ECDSAP256,sensor-edge,53.363209
QUIC,rpi4,ECDSAP256,sensor-edge,54.649551
QUIC,rpi4,ECDSAP256,sensor-edge,54.932754
QUIC,rpi4,ECDSAP256,sensor-edge,54.881408
QUIC,rpi4,ECDSAP256,sensor-edge,58.530068
QUIC,rpi4,ECDSAP256,sensor-edge,54.610346
QUIC,rpi4,ECDSAP256,sensor-edge,57.162828
QUIC,rpi4,ECDSAP256,sensor-edge,54.70558
QUIC,rpi4,ECDSAP256,sensor-edge,54.67877
QUIC,rpi4,ECDSAP256,sensor-edge,55.521952
QUIC,rpi4,ECDSAP256,sensor-edge,53.93888
QUIC,rpi4,ECDSAP256,sensor-edge,54.296463
QUIC,rpi4,ECDSAP256,sensor-edge,54.588546
QUIC,rpi4,ECDSAP256,sensor-edge,54.877402
QUIC,rpi4,ECDSAP256,sensor-edge,56.267032
QUIC,rpi4,ECDSAP256,sensor-edge,57.25331
QUIC,rpi4,ECDSAP256,sensor-edge,54.722584
QUIC,rpi4,ECDSAP256,sensor-edge,54.742444
QUIC,rpi4,ECDSAP256,sensor-edge,54.428895
QUIC,rpi4,ECDSAP256,sensor-edge,54.497221
QUIC,rpi4,ECDSAP256,sensor-edge,54.311037
QUIC,rpi4,ECDSAP256,sensor-edge,54.35274
QUIC,rpi4,ECDSAP256,sensor-edge,54.448078
QUIC,rpi4,ECDSAP256,sensor-edge,54.95777
QUIC,rpi4,ECDSAP256,sensor-edge,54.405355
QUIC,rpi4,ECDSAP256,sensor-edge,55.423482
QUIC,rpi4,ECDSAP256,sensor-edge,52.189328
QUIC,rpi4,ECDSAP256,sensor-edge,56.474545
QUIC,rpi4,ECDSAP256,sensor-edge,54.408584
QUIC,rpi4,ECDSAP256,sensor-edge,54.827115
QUIC,rpi4,ECDSAP256,sensor-edge,54.967341
QUIC,rpi4,ECDSAP256,sensor-edge,54.446398
QUIC,rpi4,ECDSAP256,sensor-edge,54.613574
QUIC,rpi4,ECDSAP256,sensor-edge,54.681412
QUIC,rpi4,ECDSAP256,sensor-edge,54.740712
QUIC,rpi4,ECDSAP256,sensor-edge,54.600519
QUIC,rpi4,ECDSAP256,sensor-edge,54.661354
QUIC,rpi4,ECDSAP256,sensor-edge,54.553196
QUIC,rpi4,ECDSAP256,sensor-edge,54.706667
